Province,Region,alternative_name,Transportation_Type,Date,Value
Alberta,Edmonton,,walking,2020-04-21,99.58
Alberta,Calgary,,walking,2020-04-21,99.56
Alberta,Edmonton,,walking,2020-04-25,98.8
Yukon Territory,Yukon Territory,,driving,2020-04-22,98.64
Yukon Territory,Yukon Territory,,driving,2020-04-25,97.28
Alberta,Edmonton,,walking,2020-04-22,95.65
Saskatchewan,Saskatchewan,,driving,2020-04-24,95.43
Alberta,Calgary,,walking,2020-04-20,95.14
Alberta,Edmonton,,walking,2020-04-27,94.51
Prince Edward Island,Prince Edward Island,,driving,2020-04-24,93.64
Yukon Territory,Yukon Territory,,driving,2020-04-28,93.56
Yukon Territory,Yukon Territory,,driving,2020-04-19,93.29
Prince Edward Island,Prince Edward Island,,driving,2020-04-18,93.17
Manitoba,Manitoba,,driving,2020-04-24,93.06
Alberta,Calgary,,walking,2020-04-22,92.28
Saskatchewan,Saskatchewan,,driving,2020-04-28,92.1
Alberta,Calgary,,walking,2020-04-25,91.2
Saskatchewan,Saskatchewan,,driving,2020-04-27,91.09
Prince Edward Island,Prince Edward Island,,driving,2020-04-17,91.04
Alberta,Edmonton,,walking,2020-04-17,90.55
New Brunswick,New Brunswick,,driving,2020-04-24,90.47
Alberta,Edmonton,,walking,2020-04-18,90.4
Alberta,Calgary,,walking,2020-04-23,90.04
Yukon Territory,Yukon Territory,,driving,2020-04-20,89.94
Nova Scotia,Nova Scotia,,driving,2020-04-19,89.56
Saskatchewan,Saskatchewan,,driving,2020-04-17,89.49
Prince Edward Island,Prince Edward Island,,driving,2020-04-26,88.98
New Brunswick,New Brunswick,,driving,2020-04-25,88.94
Saskatchewan,Saskatchewan,,driving,2020-04-23,88.65
Nova Scotia,Nova Scotia,,driving,2020-04-24,87.7
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-26,87.19
Alberta,Alberta,,driving,2020-04-24,87.03
Saskatchewan,Saskatchewan,,driving,2020-04-22,86.44
New Brunswick,New Brunswick,,driving,2020-04-28,86.22
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-24,86.13
Saskatchewan,Saskatchewan,,driving,2020-04-21,85.71
Alberta,Calgary,,walking,2020-04-27,85.24
Prince Edward Island,Prince Edward Island,,driving,2020-04-21,85.05
Manitoba,Manitoba,,driving,2020-04-17,84.64
Saskatchewan,Saskatchewan,,driving,2020-04-25,84.61
Prince Edward Island,Prince Edward Island,,driving,2020-04-22,84.25
Manitoba,Manitoba,,driving,2020-04-23,84.23
Alberta,Calgary,,walking,2020-04-17,83.77
Manitoba,Manitoba,,driving,2020-04-28,83.56
Alberta,Calgary,,walking,2020-04-19,83.5
Manitoba,Manitoba,,driving,2020-04-27,83.28
Prince Edward Island,Prince Edward Island,,driving,2020-04-27,82.75
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-22,82.6
Alberta,Edmonton,,driving,2020-04-24,82.5
Yukon Territory,Yukon Territory,,driving,2020-04-23,81.96
Alberta,Alberta,,driving,2020-04-28,81.82
New Brunswick,New Brunswick,,driving,2020-04-23,81.74
Saskatchewan,Saskatchewan,,driving,2020-04-20,81.22
New Brunswick,New Brunswick,,driving,2020-04-17,81.06
Alberta,Calgary,,walking,2020-04-26,80.61
Manitoba,Manitoba,,driving,2020-04-22,79.79
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-28,79.45
Yukon Territory,Yukon Territory,,driving,2020-04-21,79.33
Alberta,Edmonton,,walking,2020-04-26,79.29
Alberta,Calgary,,walking,2020-04-18,79.23
Prince Edward Island,Prince Edward Island,,driving,2020-04-20,79.14
New Brunswick,New Brunswick,,driving,2020-04-22,78.83
Newfoundland and Labrador,Newfoundland and Labrador,,driving,2020-04-23,78.77
